,speech_number,type,position,sentiment_blob
0,0,Great Speech,0,0.0
1,0,Great Speech,1,0.1025
2,0,Great Speech,2,0.23374999999999996
3,0,Great Speech,3,-0.062349624060150384
4,0,Great Speech,4,-0.0020408163265306207
5,0,Great Speech,5,0.01730769230769231
6,0,Great Speech,6,0.08846153846153847
7,0,Great Speech,7,0.08750000000000001
8,0,Great Speech,8,0.24444444444444446
9,0,Great Speech,9,0.039727891156462594
0,1,Great Speech,0,-0.09809523809523808
1,1,Great Speech,1,0.14223057644110276
2,1,Great Speech,2,0.2834610917537747
3,1,Great Speech,3,0.11939655172413795
4,1,Great Speech,4,0.02536231884057971
5,1,Great Speech,5,0.2021062271062271
6,1,Great Speech,6,0.11064814814814816
7,1,Great Speech,7,0.04870129870129869
8,1,Great Speech,8,0.09604591836734692
9,1,Great Speech,9,0.525
0,2,Great Speech,0,0.0
1,2,Great Speech,1,0.0
2,2,Great Speech,2,0.0
3,2,Great Speech,3,0.0
4,2,Great Speech,4,0.0
5,2,Great Speech,5,0.0
6,2,Great Speech,6,0.0
7,2,Great Speech,7,0.0
8,2,Great Speech,8,0.0
9,2,Great Speech,9,0.015324675324675317
0,3,Great Speech,0,0.11933621933621934
1,3,Great Speech,1,0.04642995892995894
2,3,Great Speech,2,0.04409340659340659
3,3,Great Speech,3,-0.014102564102564108
4,3,Great Speech,4,0.28732993197278905
5,3,Great Speech,5,0.12500000000000003
6,3,Great Speech,6,0.24689514189514195
7,3,Great Speech,7,0.22663847780126856
8,3,Great Speech,8,0.17684523809523808
9,3,Great Speech,9,0.20428152492668625
0,4,Great Speech,0,0.35624999999999996
1,4,Great Speech,1,0.23540404040404042
2,4,Great Speech,2,0.11500000000000002
3,4,Great Speech,3,0.16520979020979018
4,4,Great Speech,4,0.16428571428571426
5,4,Great Speech,5,0.3142857142857142
6,4,Great Speech,6,0.2004583651642475
7,4,Great Speech,7,0.2448773448773449
8,4,Great Speech,8,0.21666666666666667
9,4,Great Speech,9,0.04047619047619046
0,5,Great Speech,0,0.20238095238095236
1,5,Great Speech,1,0.55
2,5,Great Speech,2,0.041666666666666664
3,5,Great Speech,3,0.0
4,5,Great Speech,4,0.75
5,5,Great Speech,5,0.0
6,5,Great Speech,6,0.6
7,5,Great Speech,7,0.12242063492063493
8,5,Great Speech,8,-0.08787878787878789
9,5,Great Speech,9,0.09034607155296813
0,6,Great Speech,0,0.7
1,6,Great Speech,1,0.1280952380952381
2,6,Great Speech,2,0.06818181818181818
3,6,Great Speech,3,0.0
4,6,Great Speech,4,0.06351010101010097
5,6,Great Speech,5,0.023245614035087736
6,6,Great Speech,6,0.16666666666666666
7,6,Great Speech,7,0.16666666666666666
8,6,Great Speech,8,0.11777597402597402
9,6,Great Speech,9,0.09384692311907503
0,7,Great Speech,0,-0.16666666666666666
1,7,Great Speech,1,0.22727272727272727
2,7,Great Speech,2,0.14567901234567904
3,7,Great Speech,3,0.024716553287981863
4,7,Great Speech,4,0.1915584415584415
5,7,Great Speech,5,0.4333333333333333
6,7,Great Speech,6,0.0
7,7,Great Speech,7,0.0
8,7,Great Speech,8,0.18301435406698566
9,7,Great Speech,9,0.12786458333333334
0,8,Great Speech,0,0.21632653061224488
1,8,Great Speech,1,-0.09305555555555556
2,8,Great Speech,2,0.016942148760330577
3,8,Great Speech,3,0.0069444444444444475
4,8,Great Speech,4,0.13758741258741258
5,8,Great Speech,5,0.04664502164502164
6,8,Great Speech,6,0.1411764705882353
7,8,Great Speech,7,0.03585858585858586
8,8,Great Speech,8,0.03409090909090909
9,8,Great Speech,9,0.0
0,9,Great Speech,0,0.0
1,9,Great Speech,1,0.0
2,9,Great Speech,2,0.0
3,9,Great Speech,3,0.0
4,9,Great Speech,4,0.0
5,9,Great Speech,5,0.0
6,9,Great Speech,6,0.0
7,9,Great Speech,7,0.0
8,9,Great Speech,8,0.0
9,9,Great Speech,9,0.18493138067606155
0,10,Great Speech,0,0.25735294117647056
1,10,Great Speech,1,0.14074074074074072
2,10,Great Speech,2,0.05973462301587302
3,10,Great Speech,3,0.1380654761904762
4,10,Great Speech,4,-0.08364935064935065
5,10,Great Speech,5,0.18383838383838386
6,10,Great Speech,6,0.08842975206611571
7,10,Great Speech,7,0.11293688767372982
8,10,Great Speech,8,0.23813131313131317
9,10,Great Speech,9,0.19949429358520265
0,11,Great Speech,0,0.005555555555555559
1,11,Great Speech,1,0.12564935064935065
2,11,Great Speech,2,0.1970238095238095
3,11,Great Speech,3,0.08666666666666666
4,11,Great Speech,4,0.012500000000000011
